,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Karratha,AU,-20.7377,116.8463,86.14,67,43,5.23,scattered clouds
323,Swellendam,ZA,-34.0226,20.4417,68.38,70,25,3.89,scattered clouds
324,Anadyr,RU,64.75,177.4833,12.7,85,0,11.18,clear sky
325,Lagoa,PT,39.05,-27.9833,57.51,59,91,14.61,overcast clouds
326,Moindou,NC,-21.6924,165.677,84.15,77,87,5.61,overcast clouds
327,Ormara,PK,25.2088,64.6357,72.7,76,0,6.11,clear sky
328,Vandoeuvre-Les-Nancy,FR,48.65,6.1833,48.58,68,76,3.44,broken clouds
329,Marsa Matruh,EG,31.3525,27.2453,53.8,62,0,19.57,clear sky
330,Malinao,PH,7.5917,124.6889,67.21,89,36,3.18,scattered clouds
331,Atar,MR,20.5169,-13.0499,75.02,24,0,10.71,clear sky
332,Lufilufi,WS,-13.8745,-171.5986,85.78,77,86,12.12,overcast clouds
333,La Paz,BO,-16.5,-68.15,58.98,54,75,8.05,broken clouds
334,Araouane,ML,18.9048,-3.5265,75.29,21,0,12.24,clear sky
335,Baksanenok,RU,43.6897,43.6547,38.32,100,100,4.47,fog
336,Volchikha,RU,52.0333,80.3833,0.75,100,100,5.08,overcast clouds
337,Rio De Janeiro,BR,-22.9028,-43.2075,89.55,61,0,9.22,clear sky
338,Sinnamary,GF,5.3833,-52.95,77.0,91,88,9.06,overcast clouds
339,Avera,US,33.194,-82.5271,80.26,32,0,7.11,clear sky
340,Laem Sing,TH,12.4816,102.0738,83.14,100,96,3.94,overcast clouds
341,Sampit,ID,-2.5333,112.95,74.43,98,100,2.1,overcast clouds
342,Tommot,RU,58.9564,126.2925,-19.14,99,80,2.73,broken clouds
343,Hualmay,PE,-11.0964,-77.6139,73.15,77,95,7.74,overcast clouds
344,Pasighat,IN,28.0667,95.3333,60.66,52,7,3.94,clear sky
345,Antsirabe,MG,-19.85,47.0333,61.11,97,91,2.08,light rain
